Time,xr_2,xr_3,xr_4,xr_5,xr_6,xr_7,xr_8,xr_9,xr_10,12 m,24 m,36 m,48 m,60 m,72 m,84 m,96 m,108 m,120 m,fwd_2,fwd_3,fwd_4,fwd_5,fwd_6,fwd_7,fwd_8,fwd_9,fwd_10,F1,F2,F3,F4,F5,F6,F7,F8,F1^3,slope,level,curvature,s_2,s_3,s_4,s_5,s_6,s_7,s_8,s_9,s_10,CP,IV_5,IV_10,IV_30,RV_5,RV_10,RV_20
197108,0.499330596,0.68444215,0.254359455,0.274655287,0.636242177,0.68674095,0.557529637,0.635337957,0.867811787,5.170034648,5.465682356,5.688106978,5.775453701,5.927286117,6.075570329,6.141192692,6.181581828,6.221642814,6.265395935,5.761330064,6.132956222,6.037493869,6.53461578,6.81699139,6.534926873,6.46430578,6.542130698,6.659174029,0.010258909,-0.113748091,-0.285471049,-0.276858649,-0.227058325,0.082456552,-0.085988115,0.007316167,1.08E-06,0.799713579,5.886121469,-0.061746971,0.295647708,0.51807233,0.605419053,0.757251469,0.905535681,0.971158044,1.01154718,1.051608166,1.095361287,0.382019929,,,,,,
197109,0.198625826,0.21003258,0.127617799,0.347236073,0.295331241,-0.44378379,-1.601946638,-2.967001315,-4.399488541,5.188152033,5.43721587,5.641901536,5.771729908,5.926384438,5.986432727,5.963860389,5.917862351,5.872888302,5.838999999,5.686279707,6.051272867,6.161215025,6.545002559,6.28667417,5.828426365,5.595876083,5.513095906,5.534005278,-0.424583844,-0.114576768,0.127999919,-0.480840302,0.131766386,0.08038978,-0.125917545,0.019007899,-0.076540341,0.401784129,5.734200103,-0.288276503,0.249063837,0.453749502,0.583577875,0.738232405,0.798280694,0.775708356,0.729710318,0.684736268,0.650847966,-0.316330938,,,,,,
197110,-0.083483492,-0.461766117,-0.562464353,-0.597275745,-0.551070453,-1.094857685,-1.961943478,-2.884039636,-3.762543581,4.565526443,4.919793695,5.191203495,5.447413561,5.642362476,5.757580674,5.771723507,5.756327311,5.741577648,5.740667707,5.274060946,5.734023095,6.21604376,6.422158134,6.333671669,5.8565805,5.648553938,5.623580344,5.732478238,-0.224600024,0.06407056,-0.048889543,-0.336337907,0.02136306,0.197997431,-0.303851702,0.096977091,-0.011329987,0.820874012,5.434274626,-0.312131775,0.354267251,0.625677051,0.881887118,1.076836032,1.192054231,1.206197063,1.190800867,1.176051204,1.175141263,1.944264132,,,,,,
197111,0.09734613,0.012828056,-0.237990518,-0.106665907,0.493500077,0.437510587,-0.208426395,-1.105135254,-2.041033398,4.652407839,5.013393341,5.28796004,5.493876191,5.682248201,5.863685653,5.906096712,5.881290818,5.844889302,5.823149838,5.374378844,5.837093438,6.111624645,6.435736238,6.770872915,6.160563068,5.707649562,5.553677168,5.627494663,-0.202752989,-0.096084386,-0.099203461,-0.335770896,-0.002170668,0.157984847,-0.284287093,-0.175773228,-0.008334927,0.809756497,5.506263793,-0.263976611,0.360985502,0.635552201,0.841468353,1.029840362,1.211277814,1.253688873,1.22888298,1.192481463,1.170741999,1.642526585,,,,,,
197112,-0.22467635,-0.770867067,-1.326937668,-1.467362981,-1.084876712,-0.974783302,-1.141833263,-1.342497794,-1.542688974,4.247437755,4.76337062,5.050060662,5.239453205,5.415486995,5.618618872,5.739020353,5.798524314,5.83939862,5.882558045,5.279303485,5.623440746,5.807630836,6.119622155,6.634278255,6.46142924,6.215052043,6.16639307,6.270992861,-0.437127282,0.164227348,-0.037082643,-0.4013668,-0.171908061,0.157588864,0.000719875,0.129535555,-0.083526395,1.119187425,5.35380522,-0.092522663,0.515932865,0.802622907,0.992015451,1.168049241,1.371181117,1.491582598,1.55108656,1.591960866,1.63512029,2.458356798,,,,,,
197201,-0.505753279,-0.743788956,-0.859446846,-0.947814091,-0.693583367,-0.422751449,-0.284509201,-0.32060756,-0.462397127,4.08987093,4.784157662,5.251448364,5.530735927,5.699207767,5.837391819,5.929997648,5.988942866,6.033661191,6.076936857,5.478444394,6.186029768,6.368598616,6.373095127,6.528312079,6.485632625,6.401559392,6.391407789,6.466417849,-0.736372665,-0.004719015,0.27645901,-0.531335189,-0.039528189,0.098126554,-0.204351905,-0.050591696,-0.399294176,1.292779195,5.520100762,-0.268660507,0.694286732,1.161577434,1.440864997,1.609336837,1.747520889,1.840126718,1.899071936,1.943790261,1.987065927,3.994006781,,,,,,
197202,-0.9570082,-1.651569166,-2.066547877,-2.524714731,-2.555055483,-2.519877098,-2.502441164,-2.291233538,-2.014002004,4.186782106,4.732487373,5.195465939,5.470653481,5.635588018,5.766588028,5.865935234,5.933342585,5.980800757,6.008574603,5.27819264,6.121423071,6.296216106,6.295326169,6.421588078,6.462018469,6.405194037,6.360466135,6.25853922,-0.471571736,0.093094978,0.012984017,-0.217254506,-0.25454417,0.171453308,-0.100156466,0.098782069,-0.104868076,1.27608723,5.458883332,-0.26505703,0.545705267,1.008683833,1.283871375,1.448805913,1.579805923,1.679153128,1.746560479,1.794018651,1.821792497,3.160620122,,,,,,
197203,-0.732397429,-1.230758889,-1.502375768,-1.828474999,-1.94597599,-2.27481167,-2.735706585,-3.044686014,-3.2355999,4.880915013,5.49322373,5.756141849,5.887456555,5.972751865,6.031253249,6.058228323,6.061691078,6.054750256,6.041605631,6.105532447,6.281978087,6.281400674,6.313933105,6.323760168,6.220078767,6.085930363,5.999223677,5.923304007,-0.55178911,-0.261089619,0.137245407,-0.182554054,-0.1889408,0.232949294,0.140634622,-0.102640095,-0.168003904,0.548381901,5.835860409,-0.205337185,0.612308717,0.875226836,1.006541542,1.091836852,1.150338236,1.17731331,1.180776065,1.173835243,1.160690618,1.935046066,,,,,,
197204,-0.945244865,-1.243790037,-1.705216852,-2.141263067,-2.144803954,-2.216533035,-2.43210224,-2.392979858,-2.227123518,4.434597293,5.052030142,5.48815325,5.662215372,5.755139406,5.86647482,5.969327309,6.042553165,6.100491351,6.14472479,5.669462992,6.360399465,6.184401739,6.126835539,6.423151895,6.586442243,6.555134151,6.563996841,6.542825745,-0.513397668,-0.022022556,-0.028342808,-0.075000323,-0.176488103,0.216836707,-0.090181384,0.060002456,-0.135319902,1.092694648,5.650631446,-0.156761939,0.61743285,1.053555957,1.22761808,1.320542113,1.431877528,1.534730017,1.607955872,1.665894058,1.710127498,3.029735657,,,,,,
197205,-1.559125843,-1.941190801,-2.225706728,-2.358527359,-2.612730143,-3.087538794,-3.688858978,-4.071372487,-4.331210319,4.496038783,4.939791935,5.365431971,5.553211893,5.717773816,5.821220503,5.908764004,5.984439931,6.050283059,6.101101185,5.383545086,6.216712043,6.116551661,6.376021506,6.338453938,6.434025009,6.514171422,6.57702808,6.558464322,-0.351683003,-0.106884046,-0.164191607,-0.218203371,-0.292629596,-0.019487595,-0.056395372,-0.081401654,-0.043496482,1.16130925,5.586222312,-0.197327256,0.443753151,0.869393188,1.05717311,1.221735033,1.32518172,1.412725221,1.488401148,1.554244276,1.605062402,1.500383819,,,,,,
