Time,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
197108,,,,,,,,,,
197109,,,,,,,,,,
197110,,,,,,,,,,
197111,,,,,,,,,,
197112,,,,,,,,,,
197201,,,,,,,,,,
197202,,,,,,,,,,
197203,,,,,,,,,,
197204,,,,,,,,,,
197205,,,,,,,,,,
197206,,,,,,,,,,
197207,,,,,,,,,,
197208,,,,,,,,,,
197209,,,,,,,,,,
197210,,,,,,,,,,
197211,,,,,,,,,,
197212,,,,,,,,,,
197301,,,,,,,,,,
197302,,,,,,,,,,
197303,,,,,,,,,,
197304,,,,,,,,,,
197305,,,,,,,,,,
197306,,,,,,,,,,
197307,,,,,,,,,,
197308,,,,,,,,,,
197309,,,,,,,,,,
197310,,,,,,,,,,
197311,,,,,,,,,,
197312,,,,,,,,,,
197401,,,,,,,,,,
197402,,,,,,,,,,
197403,,,,,,,,,,
197404,,,,,,,,,,
197405,,,,,,,,,,
197406,,,,,,,,,,
197407,,,,,,,,,,
197408,,,,,,,,,,
197409,,,,,,,,,,
197410,,,,,,,,,,
197411,,,,,,,,,,
197412,,,,,,,,,,
197501,,,,,,,,,,
197502,,,,,,,,,,
197503,,,,,,,,,,
197504,,,,,,,,,,
197505,,,,,,,,,,
197506,,,,,,,,,,
197507,,,,,,,,,,
197508,,,,,,,,,,
197509,,,,,,,,,,
197510,,,,,,,,,,
197511,,,,,,,,,,
197512,,,,,,,,,,
197601,,,,,,,,,,
197602,,,,,,,,,,
197603,,,,,,,,,,
197604,,,,,,,,,,
197605,,,,,,,,,,
197606,,,,,,,,,,
197607,,,,,,,,,,
197608,,,,,,,,,,
197609,,,,,,,,,,
197610,,,,,,,,,,
197611,,,,,,,,,,
197612,,,,,,,,,,
197701,,,,,,,,,,
197702,,,,,,,,,,
197703,,,,,,,,,,
197704,,,,,,,,,,
197705,,,,,,,,,,
197706,,,,,,,,,,
197707,,,,,,,,,,
197708,,,,,,,,,,
197709,,,,,,,,,,
197710,,,,,,,,,,
197711,,,,,,,,,,
197712,,,,,,,,,,
197801,,,,,,,,,,
197802,,,,,,,,,,
197803,,,,,,,,,,
197804,,,,,,,,,,
197805,,,,,,,,,,
197806,,,,,,,,,,
197807,,,,,,,,,,
197808,,,,,,,,,,
197809,,,,,,,,,,
197810,,,,,,,,,,
197811,,,,,,,,,,
197812,,,,,,,,,,
197901,,,,,,,,,,
197902,,,,,,,,,,
197903,,,,,,,,,,
197904,,,,,,,,,,
197905,,,,,,,,,,
197906,,,,,,,,,,
197907,,,,,,,,,,
197908,,,,,,,,,,
197909,,,,,,,,,,
197910,,,,,,,,,,
197911,,,,,,,,,,
197912,,,,,,,,,,
198001,,,,,,,,,,
198002,,,,,,,,,,
198003,,,,,,,,,,
198004,,,,,,,,,,
198005,,,,,,,,,,
198006,,,,,,,,,,
198007,,,,,,,,,,
198008,,,,,,,,,,
198009,,,,,,,,,,
198010,,,,,,,,,,
198011,,,,,,,,,,
198012,,,,,,,,,,
198101,,,,,,,,,,
198102,,,,,,,,,,
198103,,,,,,,,,,
198104,,,,,,,,,,
198105,,,,,,,,,,
198106,,,,,,,,,,
198107,,,,,,,,,,
198108,,,,,,,,,,
198109,,,,,,,,,,
198110,,,,,,,,,,
198111,,,,,,,,,,
198112,,,,,,,,,,
198201,,,,,,,,,,
198202,,,,,,,,,,
198203,,,,,,,,,,
198204,,,,,,,,,,
198205,,,,,,,,,,
198206,,,,,,,,,,
198207,,,,,,,,,,
198208,,,,,,,,,,
198209,,,,,,,,,,
198210,,,,,,,,,,
198211,,,,,,,,,,
198212,,,,,,,,,,
198301,,,,,,,,,,
198302,,,,,,,,,,
198303,,,,,,,,,,
198304,,,,,,,,,,
198305,,,,,,,,,,
198306,,,,,,,,,,
198307,,,,,,,,,,
198308,,,,,,,,,,
198309,,,,,,,,,,
198310,,,,,,,,,,
198311,,,,,,,,,,
198312,,,,,,,,,,
198401,,,,,,,,,,
198402,,,,,,,,,,
198403,,,,,,,,,,
198404,,,,,,,,,,
198405,,,,,,,,,,
198406,,,,,,,,,,
198407,,,,,,,,,,
198408,,,,,,,,,,
198409,,,,,,,,,,
198410,,,,,,,,,,
198411,,,,,,,,,,
198412,,,,,,,,,,
198501,,,,,,,,,,
198502,,,,,,,,,,
198503,,,,,,,,,,
198504,,,,,,,,,,
198505,,,,,,,,,,
198506,,,,,,,,,,
198507,,,,,,,,,,
198508,,,,,,,,,,
198509,,,,,,,,,,
198510,,,,,,,,,,
198511,,,,,,,,,,
198512,,,,,,,,,,
198601,,,,,,,,,,
198602,,,,,,,,,,
198603,,,,,,,,,,
198604,,,,,,,,,,
198605,,,,,,,,,,
198606,,,,,,,,,,
198607,,,,,,,,,,
198608,,,,,,,,,,
198609,,,,,,,,,,
198610,,,,,,,,,,
198611,,,,,,,,,,
198612,,,,,,,,,,
198701,,,,,,,,,,
198702,,,,,,,,,,
198703,,,,,,,,,,
198704,,,,,,,,,,
198705,,,,,,,,,,
198706,,,,,,,,,,
198707,,,,,,,,,,
198708,,,,,,,,,,
198709,,,,,,,,,,
198710,,,,,,,,,,
198711,,,,,,,,,,
198712,,,,,,,,,,
198801,-5.352122981588062,-1.078076398882206,0.34492786124594876,-0.3111144663982871,-0.0935159819215015,-0.034508643478652026,0.06415645677517143,0.0016906310137586576,0.006303911234981429,0.01879744744810468
198802,-5.841020884399348,-1.1179930424384308,0.3650992586834914,-0.3562468161435598,-0.05481803724916036,-0.012522026297720057,0.07347240055062758,-0.010566701493274242,0.006842868595092699,0.009553127201115863
198803,-4.168640212763694,-1.4661530139998207,0.4394630913992639,-0.2415510164318628,-0.031170046949133,0.03519321802442877,-0.07550098025834702,0.015494633537058064,-0.004642071327001319,0.041623020654124016
198804,-2.9938048072512626,-1.5441384097462232,0.30005093099247504,-0.33653090490959225,-0.027512767647498746,0.07242460380319828,-0.03654033519314682,-0.014270275438511539,0.0210043817571636,0.013842561151103392
198805,-1.2386521463922315,-1.336186271366517,0.2054002172519642,-0.35373155114247845,-0.028349300547864668,0.07334261888316339,-0.03272322623035698,-0.026041061120562082,-0.001332346490535072,0.011784085399403807
198806,-2.567180590866989,-0.8218292336077386,0.23164700629066284,-0.30213513521718693,-0.02335791282430276,0.043286811959377676,-0.022290594032197148,0.05050441683219435,0.01182011451815313,0.008175064700826953
198807,-1.1329384583373452,-0.688765004774302,0.24387438843086867,-0.32464518357098765,-0.022729759385913068,0.05290522191440986,-0.038543301105838104,0.06542493537946747,-0.0038986025695456573,0.011992670443490826
198808,-0.18222054356207107,-0.2857006846452404,0.14519715109061818,-0.19692696523600192,0.031601950398216325,0.05311514418691713,0.04260544954286304,0.04540480003285956,-0.03187547503491918,0.027697006742852432
198809,-1.6135849218638363,0.07585952955694306,0.15095534692446042,-0.21838812325889018,0.0024867245220594977,0.03297066032204099,0.004182958455703238,0.04548191692803459,-0.013096675169070149,0.015614906153775658
198810,-2.5727668007799065,0.3180052822936632,0.23029014686820612,-0.23799743270205526,-0.015068150442551881,0.026443329998386996,0.02088873331868912,0.08210200502562784,0.001813483205856914,-0.002664738248509355
198811,-0.28566169498219196,0.5516852620230212,0.06587473755783022,-0.15348833461354963,0.009708952488660732,0.025052449664319357,0.01788299881582521,0.08910980299586033,-0.04247661416287393,0.013495676487068916
198812,0.6411545357318124,0.8043472533687086,-0.2079073846913517,-0.08586617966059264,-0.04130410564923877,0.011622158194928648,0.025243469945836722,0.037566566791829514,0.013034997686618722,0.0050495189167163316
198901,0.1684687881888347,1.1840577817828108,-0.21482904563636837,-0.012409925353343749,0.026146476781539994,-0.017754759392639926,0.03600927301589039,0.052488198577546566,0.007713714546479538,-0.016368862712543796
198902,1.8635247073450327,1.2473891027893111,-0.2996782014836879,-0.01214482387876943,0.03413768454548658,0.0023477214198228966,0.04511680080439565,0.057421675152174854,-0.0129451472080534,0.004983237161243647
198903,2.178925595061049,1.6883332417745571,-0.5361438343590365,0.006576281410421834,0.06858376632848076,-0.015100624084299574,0.07354794510203672,0.021516664322615148,-0.04035231414280975,-0.015118265071713642
