Time,CP
199009,7.339287647
199010,7.180242714
199011,6.411104807
199012,6.199024323
199101,6.412855221
199102,6.330411612
199103,6.099952462
199104,6.394107618
199105,6.817393779
199106,6.894384714
199107,6.862517327
199108,7.084049746
199109,6.535136917
199110,6.901891164
199111,6.751283286
199112,7.017931976
199201,6.87646893
199202,6.612967072
199203,5.606497909
199204,6.455133035
199205,6.676160903
199206,7.311624149
199207,7.18143388
199208,7.180839155
199209,7.081725635
199210,6.140534698
199211,6.235876821
199212,6.962854278
199301,5.808234834
199302,5.653484208
199303,5.875972054
199304,6.328591485
199305,5.16325321
199306,4.965613164
199307,5.003040371
199308,4.664639609
199309,4.350483732
199310,4.157720097
199311,4.547803034
199312,4.637921893
199401,3.938542855
199402,4.592659842
199403,5.392430286
199404,4.800511231
199405,4.483071804
199406,4.978539046
199407,4.620377034
199408,4.417665846
199409,4.834984036
199410,4.905178948
199411,4.576460297
199412,3.24223964
199501,3.96168836
199502,4.038867469
199503,3.777900936
199504,3.835626954
199505,3.389339588
199506,2.806202309
199507,3.264609731
199508,3.056756809
199509,3.083964063
199510,3.011789935
199511,2.845401352
199512,2.905868765
199601,3.481123993
199602,3.16586521
199603,3.060705863
199604,3.255426871
199605,3.312736122
199606,3.01540331
199607,3.491617891
199608,3.42652139
199609,3.34052671
199610,3.26586443
199611,2.991087682
199612,3.159549736
199701,3.419644361
199702,3.466143674
199703,3.6315293
199704,3.393388477
199705,3.259776141
199706,3.221605926
199707,2.823179368
199708,3.133309234
199709,2.991906355
199710,2.771717572
199711,2.796325803
199712,2.562073729
199801,2.704395501
199802,2.583691768
199803,2.577405656
199804,2.559574363
199805,2.380242775
199806,1.928446908
199807,2.304504744
199808,2.435714977
199809,1.83119894
199810,2.245319938
199811,1.673510613
199812,1.503767713
199901,1.480310044
199902,2.153114561
199903,2.453302616
199904,2.440743785
199905,2.642126958
199906,3.251616113
199907,3.235004067
199908,3.64940773
199909,3.663714506
199910,3.637261855
199911,4.064000556
199912,4.258391908
200001,3.48898767
200002,3.467983681
200003,2.248107987
200004,2.380845066
200005,2.613436209
200006,2.420858119
200007,2.499608686
200008,2.494672552
200009,3.044174803
200010,3.006425623
200011,2.954399813
