Time,ATM_IV_10_40D
199009,0.074209
199010,0.07431
199011,0.065511
199012,0.079255
199101,0.05729
199102,0.050699
199103,0.051977
199104,0.05692
199105,0.057007
199106,0.048242
199107,0.051918
199108,0.054139
199109,0.051261
199110,0.058332
199111,0.052646
199112,0.062261
199201,0.076371
199202,0.061842
199203,0.068792
199204,0.061421
199205,0.059272
199206,0.060896
199207,0.077216
199208,0.069406
199209,0.082516
199210,0.095544
199211,0.066717
199212,0.063555
199301,0.068033
199302,0.067393
199303,0.076051
199304,0.065889
199305,0.054861
199306,0.05498
199307,0.0516
199308,0.04248
199309,0.058061
199310,0.050337
199311,0.060149
199312,0.058953
199401,0.057994
199402,0.059556
199403,0.077915
199404,0.08551
199405,0.084898
199406,0.089834
199407,0.066812
199408,0.073492
199409,0.069355
199410,0.06351
199411,0.067367
199412,0.064198
199501,0.060407
199502,0.068078
199503,0.065967
199504,0.052127
199505,0.071922
199506,0.078727
199507,0.06779
199508,0.057717
199509,0.057469
199510,0.055805
199511,0.054539
199512,0.052393
199601,0.057863
199602,0.065443
199603,0.06577
199604,0.071011
199605,0.076919
199606,0.070802
199607,0.081996
199608,0.078438
199609,0.067779
199610,0.0658
199611,0.060184
199612,0.065239
199701,0.065339
199702,0.061253
199703,0.058462
199704,0.051283
199705,0.053588
199706,0.045951
199707,0.052134
199708,0.04702
199709,0.04906
199710,0.056498
199711,0.04512
199712,0.05328
199801,0.053756
199802,0.044776
199803,0.045756
199804,0.041975
199805,0.040241
199806,0.044459
199807,0.035066
199808,0.059108
199809,0.072384
199810,0.078223
199811,0.054782
199812,0.069773
199901,0.052316
199902,0.06184
199903,0.054255
199904,0.056687
199905,0.055989
199906,0.060853
199907,0.056924
199908,0.060824
199909,0.058616
199910,0.050211
199911,0.056828
199912,0.068353
200001,0.071178
200002,0.078107
200003,0.069082
200004,0.061623
200005,0.071436
200006,0.062434
200007,0.053818
200008,0.050259
200009,0.049155
200010,0.05432
200011,0.054828
200012,0.060803
200101,0.064597
200102,0.073011
200103,0.071122
200104,0.073392
200105,0.073854
200106,0.065187
200107,0.066753
200108,0.067007
200109,0.07819
200110,0.079274
200111,0.09291
200112,0.096995
200201,0.082273
200202,0.075004
200203,0.081401
200204,0.073314
200205,0.071605
200206,0.076827
200207,0.064926
200208,0.065247
200209,0.095315
200210,0.0874
200211,0.083744
200212,0.080038
200301,0.076846
200302,0.077745
200303,0.07625
200304,0.062672
200305,0.070589
200306,0.071281
200307,0.11646
200308,0.097299
200309,0.089524
200310,0.091243
200311,0.084493
200312,0.088732
200401,0.083082
200402,0.068719
200403,0.077505
200404,0.086638
200405,0.078283
200406,0.068433
200407,0.056337
200408,0.056825
200409,0.064268
200410,0.061779
200411,0.064757
200412,0.057495
200501,0.05262
200502,0.058612
200503,0.053343
200504,0.054666
200505,0.052062
200506,0.050858
200507,0.052878
200508,0.051487
200509,0.048774
200510,0.050029
200511,0.049001
200512,0.046592
200601,0.047019
200602,0.040203
200603,0.043688
200604,0.042022
200605,0.046167
200606,0.04261
200607,0.040439
200608,0.038321
200609,0.039214
200610,0.039983
200611,0.043381
200612,0.041478
200701,0.038753
200702,0.045287
200703,0.045142
200704,0.039131
200705,0.039235
200706,0.045573
200707,0.057226
200708,0.060842
200709,0.057317
200710,0.053953
200711,0.07629
200712,0.081024
200801,0.089212
200802,0.096409
200803,0.090702
200804,0.075114
200805,0.083212
200806,0.077271
200807,0.077449
200808,0.075791
200809,0.12002
200810,0.10964
200811,0.11909
200812,0.12813
200901,0.11281
200902,0.11494
200903,0.080686
200904,0.085682
200905,0.1055
200906,0.10139
200907,0.094772
200908,0.081931
200909,0.076888
200910,0.073541
200911,0.060446
200912,0.068863
201001,0.058637
201002,0.058003
201003,0.061081
201004,0.060073
201005,0.083481
201006,0.070437
201007,0.059642
201008,0.073752
201009,0.066412
201010,0.070273
