Time,12 m,24 m,36 m,48 m,60 m,72 m,84 m,96 m,108 m,120 m
199009,7.67698667207787,7.88964951966652,8.05174846654899,8.27216256110116,8.41545927638671,8.51338282539439,8.61448240196103,8.68606969411705,8.73296951147175,8.79392513059546
199010,7.427382005593,7.64476565889942,7.82484465427475,8.03073587410914,8.18999428980414,8.30226664495194,8.4127481976422,8.51142396437725,8.58379333302748,8.6583946038489
199011,7.30857232203915,7.4538771409196,7.57026550390161,7.75848854150078,7.87824535763656,7.99242547182808,8.09652587925802,8.17979226027201,8.22636559892726,8.27497310315914
199012,6.899355586305,7.11701414922902,7.31716967042345,7.5312652964035,7.66316340769813,7.82779864439953,7.96297559605858,8.04426748856197,8.08019791776907,8.13584281023523
199101,6.62198465676964,6.96566195487246,7.18729253129599,7.44407845183004,7.61029705979314,7.73421475963336,7.85606994899093,7.95211017951641,8.01557515108682,8.10322270295963
199102,6.49018702696539,6.92187451816963,7.17738734901347,7.44972871314811,7.63479611091659,7.7525012741483,7.86606101488351,7.96852316877583,8.02702594113174,8.10334498416979
199103,6.38963663422542,6.9527932219435,7.24714357051692,7.55509177252058,7.72619354173926,7.86889027540619,7.96119757065364,8.02443068421802,8.06065497668333,8.11342879968565
199104,6.1999403228019,6.78953564013509,7.09072554945678,7.43200300714736,7.63106639834655,7.80403514080308,7.91531263972764,7.98455570899942,8.03316951049159,8.10081101297429
199105,6.20428815121935,6.75710201261426,7.06309512160361,7.43966024127354,7.65308628527219,7.83201232483739,7.94880107167346,8.03013377273068,8.09661963036624,8.15503066266658
199106,6.34100768295617,6.88951889216068,7.29138134857675,7.67504132888703,7.87530382972371,8.04074359634241,8.14528202460645,8.2265411920322,8.2791481416985,8.30471340469429
199107,6.17646262733122,6.74849458132379,7.13449224250611,7.50383833535135,7.72175579130419,7.90946948655259,8.0357547346424,8.12073935926204,8.18437863819488,8.23484292601258
199108,5.78590192149398,6.28950127929144,6.67031118529193,7.08565700472868,7.31697055165752,7.54950997723892,7.71017112109296,7.79896722978926,7.87859033947222,7.96046532615356
199109,5.49525054234786,5.98178543402322,6.33991459989504,6.72976235445476,6.94716924673391,7.1869018483638,7.34432547860467,7.43876529491785,7.53905918805883,7.62392079593938
199110,5.15890502101903,5.67488254772063,6.08058351378716,6.52969421585409,6.78649680764925,7.07621167115547,7.27464217642002,7.42071337383908,7.55596158798703,7.6897816276838
199111,4.8029240652162,5.35753037790659,5.86295788931967,6.34727566449968,6.60511556019757,6.94802143262002,7.18135194154211,7.37702412047237,7.56517242020138,7.69956413642135
199112,4.20428173004888,4.76259109197602,5.27630017338616,5.78647456110182,6.09028770813275,6.36739304408013,6.56682583667232,6.73117122616784,6.89161162037262,7.10261749607447
199201,4.37157550837726,5.11836817249798,5.75214152634519,6.28223944470122,6.59612693035346,6.92837558000625,7.15267078306488,7.3296409190158,7.48038835021409,7.60520031089987
199202,4.45148992923353,5.23158172173082,5.86045110033378,6.39652658071393,6.68990136611967,6.99113437173951,7.19836736569964,7.32740254996631,7.41049700799612,7.52502269100279
199203,4.67050171859858,5.58632134131683,6.2832188312132,6.76444158257543,6.9885282210343,7.28899343387565,7.44098374853549,7.56120865992859,7.64918458805082,7.72578449919343
199204,4.40681915567697,5.37231436307872,6.09313955490293,6.62496570354553,6.93660063435514,7.24960170518718,7.44149619850241,7.61212425395404,7.75285615658982,7.82824737556356
199205,4.27733172940305,5.1264401436233,5.80365291815235,6.30829103886887,6.64594320789664,6.91478144027645,7.14116590147876,7.34612324379974,7.52808543340525,7.61296851627972
199206,4.09693429350971,4.80817720067897,5.45120413227394,5.98959300975604,6.36122987521871,6.68324428697221,6.9291920988932,7.14009210122552,7.33081900772033,7.43883580378512
199207,3.68553001035205,4.38127824943911,4.99731402221401,5.54233070756507,5.93915894836675,6.26717217744243,6.48259256285622,6.69067879068267,6.86824961818461,7.01709010726016
199208,3.50863864246984,4.13184347359652,4.76393647848659,5.33390335941489,5.74108584233427,6.14440263069276,6.40379761291839,6.65552274252047,6.8504565161115,6.99582214943479
199209,3.14488321588014,3.80243944006149,4.41841773163002,4.996527764135,5.44229091736919,5.84027651814593,6.16268229297179,6.44243357962248,6.64322519032456,6.81542160904343
199210,3.65983961676476,4.43672042567579,5.08751392245095,5.64437475009295,6.00063502171516,6.32243097488688,6.58370663561898,6.85325483167962,7.01885337739935,7.1591251291039
199211,3.93990385008928,4.80366673635074,5.46416272333865,5.98433942787611,6.3254017745241,6.60947548922147,6.80310637508453,6.96467733869537,7.04985220500179,7.19110912325495
199212,3.69249452362069,4.52538900179188,5.21472042374785,5.75053038155037,6.14138825576012,6.42060387521023,6.59951948408346,6.73096419079582,6.82372463199654,6.9596860456963
199301,3.48616801964107,4.17743566692965,4.80008122926353,5.25558928953027,5.63800592524635,5.97663760669218,6.19015238747722,6.43888142560526,6.59413252003149,6.69459809283286
199302,3.3572604278221,3.90501488651167,4.43324491217977,4.93301801658408,5.29930203119025,5.60464000924236,5.84567619197194,6.12385058495309,6.29224757058727,6.37749089309741
199303,3.36987004343894,3.92198082171302,4.4817710840128,4.96689392894879,5.31882161410925,5.62462648072066,5.88618508817319,6.11136489209022,6.25864276619642,6.38731759704882
199304,3.28718860690367,3.77997465084,4.34860260958347,4.83263355100574,5.2328924790296,5.56452891111,5.83827011359161,6.09255722154104,6.25463045985023,6.37670459504325
199305,3.63144409973299,4.17337013059639,4.65995799619137,5.07359400839871,5.38842298501921,5.66304996902449,5.91924877292898,6.15747270224201,6.30676602519487,6.4249145400224
199306,3.50558994076598,3.97423594279087,4.42975235852465,4.78282219450119,5.08156061785375,5.32890665895408,5.53066750212294,5.72904443330458,5.88497466547839,6.01600582962643
