Time,1 m,2 m,3 m,4 m,5 m,6 m,7 m,8 m,9 m,10 m,11 m,12 m,13 m,14 m,15 m,16 m,17 m,18 m,19 m,20 m,21 m,22 m,23 m,24 m,25 m,26 m,27 m,28 m,29 m,30 m,31 m,32 m,33 m,34 m,35 m,36 m,37 m,38 m,39 m,40 m,41 m,42 m,43 m,44 m,45 m,46 m,47 m,48 m,49 m,50 m,51 m,52 m,53 m,54 m,55 m,56 m,57 m,58 m,59 m,60 m,61 m,62 m,63 m,64 m,65 m,66 m,67 m,68 m,69 m,70 m,71 m,72 m,73 m,74 m,75 m,76 m,77 m,78 m,79 m,80 m,81 m,82 m,83 m,84 m,85 m,86 m,87 m,88 m,89 m,90 m,91 m,92 m,93 m,94 m,95 m,96 m,97 m,98 m,99 m,100 m,101 m,102 m,103 m,104 m,105 m,106 m,107 m,108 m,109 m,110 m,111 m,112 m,113 m,114 m,115 m,116 m,117 m,118 m,119 m,120 m
199009,7.34619519893137,7.37124604505565,7.39894944543862,7.42835622962149,7.45889737718184,7.49010347315985,7.5215335037627,7.55286205107319,7.58396671838952,7.61492093312885,7.64589856472113,7.67698667207787,7.70793080417359,7.7380240653571,7.76629389247504,7.79178679313532,7.8137538203116,7.831804863768,7.84607495456302,7.85724525318229,7.86631600184166,7.87427681466578,7.88188797016885,7.88964951966652,7.8978951328797,7.90690704731195,7.91698580790548,7.92843146195452,7.9414019517095,7.95574595765584,7.97103659916829,7.98680872477528,8.00275134637451,8.0187686249713,8.03499192980687,8.05174846654899,8.06943449832052,8.08832648685188,8.10843056959753,8.12943516710443,8.15077121137972,8.17174914904968,8.19173103515341,8.21029222429035,8.22732048075487,8.24301583362842,8.25779802558776,8.27216256110116,8.28653335631891,8.30115059057105,8.31601423927487,8.33088529315196,8.34533959322275,8.35887613668851,8.37108027193721,8.38179424163463,8.39118564740775,8.39965078000123,8.40763053592012,8.41545927638671,8.42329269955623,8.43112411474975,8.43888444411333,8.44655325418276,8.45419599063675,8.46192823513723,8.46985947508526,8.47805488120628,8.4865298627867,8.49526811388228,8.50423642156108,8.51338282539439,8.52263123093823,8.53188997479896,8.54107360598057,8.55012084246827,8.55899564095387,8.56767515206937,8.5761374168981,8.58435724288412,8.59231027524072,8.5999805523131,8.60736649907652,8.61448240196103,8.62135510580182,8.62801767477783,8.63450242001004,8.64083520033544,8.64703193677641,8.65309745879521,8.65902635057829,8.66480530232273,8.670416417768,8.67584088351216,8.68106238157931,8.68606969411705,8.69085814739845,8.69542983550527,8.69979286242794,8.70396005743484,8.70794770744816,8.71177481066764,8.71546320690626,8.71903869824271,8.72253294673241,8.72598554554819,8.7294452894301,8.73296951147175,8.73662067058042,8.74046030514353,8.74454173928492,8.74890381200919,8.75356769477103,8.75853756875589,8.76380435720447,8.76935078498012,8.7751560904871,8.78119939211266,8.78746146029984,8.79392513059546
199010,7.24996958465151,7.26236076466594,7.27441346833977,7.28572350350401,7.29672452541352,7.30834397005632,7.32154585412022,7.33704874840771,7.35529426075353,7.37651139486018,7.40068307399778,7.427382005593,7.45565990969568,7.48419942784581,7.51164820513053,7.53687217792461,7.55906455879934,7.57782184235493,7.59321104136383,7.60574860839168,7.61626565240081,7.62571369527368,7.63497837597894,7.64476565889942,7.65558583262683,7.6677803931544,7.6815116199072,7.6967011912558,7.71300362073229,7.72990140516969,7.74686237406521,7.76344770955031,7.77938368068064,7.79466034631198,7.80961160992131,7.82484465427475,7.84099122364007,7.85841527349892,7.8770356719787,7.89634251611444,7.91558908211391,7.93407286318363,7.95139748433304,7.96761099189984,7.98314598195531,7.99858295686555,8.01438020940703,8.03073587410914,8.0476223730493,8.06488219862835,8.08226016759664,8.09936425601041,8.11565201698601,8.1305430322142,8.14364670746726,8.15494232395164,8.16475682110082,8.17358340417561,8.18188990555802,8.18999428980414,8.19803133726825,8.20602433649796,8.21400649396597,8.22209440148132,8.23047933011803,8.23936273292705,8.24887140270323,8.25899726806995,8.26960264054548,8.280480873966,8.29142400444555,8.30226664495194,8.31290353590342,8.32328510293164,8.33339707386964,8.3432361557391,8.35279498461234,8.36206210760469,8.37103309051806,8.3797233496069,8.38817399089806,8.39644743305435,8.40461583599846,8.4127481976422,8.42090063793114,8.42911130725609,8.43739907800066,8.44576447315685,8.45419162060411,8.46265064800724,8.471100415027,8.4794916943562,8.48777089831705,8.49588428553614,8.50378235836505,8.51142396437725,8.51877953060578,8.52583294564749,8.5325818603173,8.53903652878147,8.5452176404917,8.55115378564865,8.55687919006732,8.56243215129988,8.56785426317823,8.57319012660655,8.57848694320236,8.58379333302748,8.589157020739,8.59462163226227,8.60022342953846,8.60598899375403,8.61193449883613,8.61806654545205,8.62438398079325,8.63087996596183,8.6375437220244,8.64436167992937,8.65131800525424,8.6583946038489
199011,7.07539590075756,7.1113394849508,7.14683330069573,7.17811639647302,7.20390799385457,7.22447175589869,7.24090941407011,7.25464481819389,7.26712033536589,7.27964483332939,7.29326336044842,7.30857232203915,7.3255615349366,7.34364477022446,7.36189958183899,7.37936865837141,7.39528154023036,7.40915055698372,7.42077241034452,7.43020123011826,7.43772295731547,7.44380220090081,7.44899442453776,7.4538771409196,7.45902926890202,7.46500984427425,7.47226396506497,7.48096491272737,7.49093138129768,7.5017296934315,7.51287811709977,7.52402049473605,7.53504058035524,7.54611756172188,7.55768356271925,7.57026550390161,7.58426714449422,7.59978555183158,7.61654335534745,7.63397257799325,7.65141619699837,7.66835476251607,7.68455747159283,7.70008924394792,7.71516696911991,7.72995497887761,7.7444453325808,7.75848854150078,7.77190282783587,7.78455729001353,7.79639420891521,7.80741534245207,7.81766873850725,7.82725295126675,7.83631821129089,7.84503342259584,7.85353200788412,7.86188326221134,7.87011130733946,7.87824535763656,7.88636416161314,7.89460019081062,7.90310306565535,7.91199011297135,7.92130867234601,7.93102592927902,7.94105211475295,7.9512794059933,7.96160804159432,7.97195274560699,7.98224304661232,7.99242547182808,8.00246252526593,8.0123237506084,8.02197410381278,8.03136957265871,8.04046484317698,8.04922905495841,8.05766021531629,8.06578977996286,8.07367522034179,8.08138526387196,8.0889850239639,8.09652587925802,8.10404096347769,8.1115445676408,8.11903337001928,8.12648828014612,8.13387666860317,8.14115524000772,8.14827375895393,8.15517952420727,8.16182217588737,8.16815825077347,8.17415489354283,8.17979226027201,8.18506437780412,8.18997850128661,8.1945532806895,8.19881624099206,8.20280115393743,8.20654581879149,8.21009059446538,8.21347777383446,8.21675160732868,8.21995851636424,8.22314685685933,8.22636559892726,8.22966158319829,8.23307560649411,8.23663828321777,8.24036703367232,8.24426532419591,8.2483244556357,8.25252722541966,8.25685222265484,8.26127757451627,8.26578344769177,8.2703531576931,8.27497310315914
199012,6.3837845900014,6.46042671815623,6.52857527019477,6.58727075150829,6.63761278684625,6.68155763998955,6.72119178304391,6.75829836643002,6.79417760732848,6.82960368105707,6.86478982494958,6.899355586305,6.93242934675005,6.96296100038067,6.99008582724865,7.01334527638902,7.03276623311531,7.04884596637147,7.062396274547,7.0742664879488,7.08513000948542,7.09549813018092,7.10589879329807,7.11701414922902,7.12963277788917,7.14437992098248,7.16134396920025,7.1799295161268,7.19913746564509,7.21800210161742,7.23587160689535,7.25254143359583,7.26829575828222,7.28380428002334,7.29987514491706,7.31716967042345,7.33598568818524,7.35616864012037,7.37716518083919,7.39819070993869,7.41846250219475,7.43743689999986,7.45495377182164,7.47121107907333,7.48660660807271,7.50156169469009,7.51639803300587,7.5312652964035,7.54610146162922,7.56063164653364,7.57443616867668,7.58711071757831,7.59846476562882,7.60862003274612,7.61792979877209,7.62680582153983,7.63558726904781,7.6444948557904,7.65365380741964,7.66316340769813,7.67316273295968,7.68383648801938,7.69536076115663,7.70783387022681,7.72123887445405,7.73545843646768,7.75032039054056,7.7656340640889,7.78120662678914,7.79685622134521,7.81242797760825,7.82779864439953,7.8428595969338,7.85748984068378,7.87154237099337,7.88485815991934,7.89730301339876,7.90880770112222,7.91938973307945,7.92914675401644,7.93822779532032,7.94679759285998,7.95500708226351,7.96297559605858,7.97078399794152,7.97847543388728,7.98606046247035,7.99352427574216,8.00083455515896,8.00794902218163,8.01482205263789,8.02140994615795,8.02767463154851,8.03358576967335,8.03912140261995,8.04426748856197,8.04901682290369,8.05336792800541,8.05732446019567,8.0608955371423,8.06409717101281,8.06695474995987,8.06950625949919,8.07180565345185,8.07392544795236,8.0759572818941,8.07800908113594,8.08019791776907,8.08263888296404,8.08543202536683,8.088650775534,8.09233527271418,8.09649234939063,8.10110146429626,8.10612399287128,8.11151283210786,8.1172200795809,8.12320182182333,8.12942011710079,8.13584281023523
199101,6.26118414813767,6.2771064304559,6.29813726209658,6.32399520075687,6.35367433622007,6.38604076689386,6.42030839438672,6.45626084199753,6.49416275510894,6.53443261016947,6.57721173523659,6.62198465676964,6.66749283354482,6.712104723276,6.75437368555743,6.79332813316377,6.82842585119615,6.85939392894873,6.88609165086274,6.90847418682066,6.92672842436288,6.94149228927393,6.95394832142106,6.96566195487246,6.97816841875395,6.99247873943609,7.00883946583175,7.02692550643565,7.04621547710213,7.06622223331814,7.08654713093659,7.10687911147982,7.12702915394944,7.14700248308122,7.16700329666149,7.18729253129599,7.20798342178312,7.22893951939972,7.24985646968076,7.2704793686514,7.29081285285076,7.3111585532681,7.33193522398347,7.353430302384,7.37567238883541,7.39845672117235,7.42141907043511,7.44407845183004,7.46585966724584,7.48615998903046,7.50450960776311,7.52076151500214,7.5351440622354,7.54811192929432,7.56011967910087,7.5714609010946,7.58221943492406,7.59232644643343,7.60168668974755,7.61029705979314,7.61829969898138,7.62597425782931,7.63369022995524,7.64182614108655,7.65067982038812,7.66041545910093,7.67106567313681,7.68256604137148,7.6947937906962,7.70759577899164,7.72080036662523,7.73421475963336,7.74761749501183,7.7607601693933,7.77338905694408,7.78528618406954,7.79631506217224,7.80644869135596,7.8157657966777,7.82442016957467,7.83260058037905,7.8404965726793,7.84827562750971,7.85606994899093,7.86396965761615,7.87202082872776,7.88022819512124,7.8885621110567,7.89696827797431,7.90537807285397,7.91371763888827,7.92191480436765,7.92990375750209,7.93762789752768,7.9450414248611,7.95211017951641,7.95881211751909,7.96513769462674,7.97109032652049,7.97668701597947,7.98195916586966,7.98695349639814,7.99173280729526,7.99637604759015,8.00097684491659,8.00563950838468,8.01047185019349,8.01557515108682,8.02103299305647,8.02690176739567,8.03320560419097,8.03993704334988,8.04706270677183,8.05453169460174,8.06228410621433,8.07025781295787,8.0783927203246,8.08663266703113,8.09492559031873,8.10322270295963
199102,6.05938746392848,6.09125795466008,6.12605147764775,6.161521194955,6.19689015885786,6.23237205232202,6.26871964934041,6.30689344578955,6.34780795512063,6.3920760201246,6.43974885831702,6.49018702696539,6.54218210761206,6.59424115669385,6.64484953219022,6.69264637726308,6.73653410329995,6.77573426520492,6.80981862548281,6.83877895387925,6.86314700282272,6.88405567082644,6.90308838537148,6.92187451816963,6.9416033301898,6.96276411724708,6.98524337122448,7.00858209630896,7.03217160704008,7.0553772973476,7.07766594201572,7.09875591364372,7.11873607182013,7.13806445390438,7.1574076367921,7.17738734901347,7.19835966263418,7.22032343463846,7.24298960954995,7.26597538873984,7.28901001307923,7.31202115284155,7.33507567171542,7.35825740363321,7.38155975679669,7.40481814214608,7.42769386589939,7.44972871314811,7.47047860198643,7.48969097403926,7.50742139828955,7.52398386556418,7.53976249441177,7.55502829783901,7.56986320878581,7.58419448442308,7.59789566348419,7.61088855735678,7.6231767603722,7.63479611091659,7.64574200330121,7.65595532383127,7.66540671374942,7.67422072457543,7.68270683369237,7.69125070761305,7.70017025453217,7.70964203900095,7.71970483206172,7.73029606122338,7.74128626537537,7.7525012741483,7.76373866560814,7.77478960130341,7.78547101400735,7.79566119088602,7.80532312014683,7.81450352995091,7.82330946497821,7.83187559363128,7.84033548197969,7.84880269475328,7.8573610411523,7.86606101488351,7.87492008282256,7.8839256055374,7.8930396716238,7.90220506468724,7.91135147948935,7.92040127534894,7.92927443839825,7.93789279840349,7.9461837573192,7.95408380618773,7.96154197768183,7.96852316877583,7.97501104335769,7.98101006566178,7.98654619393288,7.99166591531856,7.99643359566055,8.00092744835768,8.00523466079251,8.00944626061593,8.01365216177929,8.01793661067216,8.02237411068066,8.02702594113174,8.03193757229052,8.03713744238405,8.04263750130571,8.04843556154918,8.05451897314612,8.06086873840641,8.06746311942366,8.07428006601646,8.08129822212446,8.08849664869933,8.09585362645673,8.10334498416979
199103,5.89379649973082,5.92161548059409,5.95011901647809,5.98043133716599,6.01400827606492,6.05212720629785,6.09557683409667,6.14462115899025,6.19914044998681,6.25872770044382,6.32263291015771,6.38963663422542,6.45802715083118,6.5258171862353,6.59112403582521,6.65244383248751,6.70868667723104,6.75910623175326,6.80330135742018,6.84133653258627,6.87389018672926,6.90225672687569,6.92806471738963,6.9527932219435,6.9773974440451,7.00226313947507,7.02738415803054,7.05255221804615,7.07749609100406,7.10200145381412,7.12601333298923,7.14968424531705,7.1733336845338,7.19732327081777,7.22190812004048,7.24714357051692,7.27288589016861,7.29887720491277,7.3248739847793,7.35075186455668,7.37653141815428,7.40233227938512,7.42829585022277,7.45448940146994,7.48079355140887,7.50681099436963,7.53185797297315,7.55509177252058,7.57579309253131,7.59369985141726,7.60915638526996,7.6229526926292,7.63599009081198,7.64897147021693,7.6622070522126,7.67559258308268,7.68880556353236,7.70160570340281,7.71400235698578,7.72619354173926,7.73838522941697,7.7506438103346,7.76287716519005,7.77494910241964,7.78681614380728,7.79855447395234,7.81028021496123,7.82206645118882,7.83391347300151,7.84575457976312,7.85746822114774,7.86889027540619,7.87983483388525,7.89012847309548,7.89965034131719,7.90836083119872,7.91630515080718,7.9235929897536,7.9303679040046,7.93678014666261,7.94296843180032,7.94904894349674,7.95510810147133,7.96119757065364,7.96733233890508,7.97349319796022,7.9796336763429,7.98568985995107,7.99159086095105,7.99726810133419,8.00266245800978,8.00772908622569,8.01244017050352,8.01678598836196,8.02077463770351,8.02443068421802,8.02779290405569,8.03091127102685,8.03384337754235,8.03665056032826,8.03939407148642,8.04213163370461,8.04491462067304,8.04778594797406,8.05077863627159,8.05391500509928,8.0572065831963,8.06065497668333,8.06425394715969,8.06799270495879,8.07185998699721,8.07584810620644,8.07995607651542,8.08419118985222,8.08856888075223,8.09311111305786,8.09784371380227,8.102793073684,8.10798254365835,8.11342879968565
199104,5.54742143069768,5.58806349146901,5.63763308086967,5.6926099984474,5.75051334628258,5.80995408081862,5.87048000200922,5.93228473448383,5.99585148983558,6.06163622832192,6.12979843273448,6.1999403228019,6.27093974993349,6.34109266725962,6.40857052222076,6.47183785872294,6.52978107142817,6.58169007566732,6.62730762244267,6.66694996480315,6.70157015995132,6.73260733754988,6.76156172509967,6.78953564013509,6.8170643004951,6.84423420850796,6.87087811323742,6.89674570758285,6.92165807405913,6.94562766413716,6.9689015996051,6.99192035647278,7.01521105145517,7.03925438750281,7.06438014663594,7.09072554945678,7.1182503127376,7.14677959499684,7.17604963552333,7.20575452067,7.23560706748072,7.26539718571964,7.29499490963797,7.32427386592225,7.3530047378909,7.38080761335001,7.40723667939744,7.43200300714736,7.4551891490987,7.47720917050078,7.49847607980788,7.5190633578705,7.53862636768941,7.55658998398129,7.57248433031553,7.58625176102964,7.59831146234695,7.60935809687972,7.6200948960931,7.63106639834655,7.64260137298006,7.65481509904874,7.66766220091411,7.68105669526609,7.694998808726,7.70959058653454,7.72492133362637,7.74092598505057,7.75731894510063,7.77363549917989,7.78935299432106,7.80403514080308,7.81743868937386,7.82954022463529,7.84048318205287,7.85048741137335,7.85977159122644,7.86851377514105,7.87684668355269,7.8848707981107,7.89266861456195,7.90031027103052,7.90784915895011,7.91531263972764,7.92269514742448,7.92995858714358,7.93704047559947,7.94386678469742,7.95036545186317,7.9564775308383,7.96216463275637,7.96741263734769,7.97223231671117,7.97665764331703,7.98074242086501,7.98455570899942,7.98817643340758,7.99168759720879,7.99517057577452,7.99869999554732,8.00233960731004,8.00613937448887,8.01013378820381,8.01434130180235,8.01876481191932,8.02339325581323,8.02820449193554,8.03316951049159,8.03825763957816,8.04344194108006,8.0487037277219,8.0540352807412,8.05944034523503,8.0649325554173,8.07053232607471,8.07626284415593,8.08214569082729,8.08819647832748,8.0944208211426,8.10081101297429
199105,5.55897958063817,5.61316414520777,5.66823470613002,5.72261034131505,5.77634061663819,5.83040165571023,5.8860793821342,5.94443302985739,6.00597705062913,6.0705365933447,6.13716845402803,6.20428815121935,6.27018338897579,6.33355656957727,6.39360063093068,6.4497358352565,6.50140363204346,6.54811561934508,6.58975417923084,6.62692294381721,6.66096692918061,6.69343743035249,6.72538501336853,6.75710201261426,6.78833359164455,6.8185486608005,6.84712706772381,6.87358622305943,6.89784937769408,6.92035926868888,6.94194322088414,6.96355081053604,6.98601501443758,7.00991791410157,7.03557430629867,7.06309512160361,7.09246965060927,7.12360053394375,7.15626150258899,7.19004317384752,7.22438406110694,7.25867645421549,7.29235673757721,7.32494343949584,7.35605862125898,7.38548272573045,7.41324797693958,7.43966024127354,7.46510407638547,7.48971040832513,7.51317644307307,7.53488270121133,7.55422151543423,7.57097510309201,7.58551218827962,7.59865110995796,7.61133021594217,7.62433608177215,7.63818366928838,7.65308628527219,7.66892856970236,7.68526426796541,7.70148210469443,7.71716245662308,7.73232176002943,7.74727332123078,7.76228193050613,7.7773441665123,7.79219254090895,7.80644073442999,7.81976158240564,7.83201232483739,7.84326006227991,7.85371890934883,7.8636542909491,7.87330586004878,7.88284759997018,7.89237860230592,7.90193185441092,7.91149165499372,7.92101357556602,7.93044204215457,7.93972166355974,7.94880107167346,7.95763149433507,7.96616427558084,7.9743508372511,7.98214612833423,7.98951441125427,7.99643540564744,8.00290915661803,8.0089587543806,8.01463063101529,8.01999244023565,8.02512861303501,8.03013377273068,8.03510441120441,8.0401295724092,8.04528165059765,8.05060863415711,8.05612908497768,8.06183079851588,8.06767350617635,8.07359529940261,8.07952183196195,8.08537691720993,8.09109294691183,8.09661963036624,8.10192986059677,8.10702200189619,8.11191847931495,8.1166611392674,8.12130434270296,8.12590706256055,8.13052532622771,8.13520615276789,8.13998372061862,8.14487796354127,8.14989527621759,8.15503066266658
199106,5.4512065828565,5.5480304572099,5.64008860628075,5.72734086302897,5.81094307435844,5.892183748558,5.97186526579865,6.05015114908195,6.12673466336734,6.2010865586635,6.27265783996578,6.34100768295617,6.40582685232557,6.46687778181187,6.52390838013785,6.57658228991755,6.62454862144592,6.66776376209132,6.70690978216554,6.74347584943944,6.77921261661001,6.81533480014993,6.85219198082898,6.88951889216068,6.92679597065939,6.9634768591698,6.99918264483732,7.03385987151157,7.06771872356162,7.10098914883137,7.13376694970031,7.16604245244968,7.19779828175693,7.22910145927376,7.26017316347478,7.29138134857675,7.32312071781648,7.35566083058778,7.38907699788677,7.42326791576959,7.45797857231478,7.49279143983242,7.52712659673451,7.56031200243198,7.59176138269822,7.62121355971735,7.64884122536853,7.67504132888703,7.70002914096849,7.72360534720899,7.74527735266179,7.7646112438211,7.78158429819207,7.79667524324494,7.81059344329438,7.82390759498437,7.83690060899993,7.8496901509358,7.86241564317065,7.87530382972371,7.88859144326097,7.90240618709848,7.91671539991083,7.93139346998291,7.94632903170402,7.96142464682344,7.97649987189764,7.99124168060237,8.00526853539771,8.01826019534807,8.03006797833681,8.04074359634241,8.05048415039169,8.05954289296588,8.06815864095171,8.0765240911827,8.08478428255688,8.09304749166854,8.10139496333113,8.10988346019982,8.11854121735448,8.12736186841504,8.13630152999752,8.14528202460645,8.15420004877319,8.16293988760458,8.17138679143335,8.17943887842742,8.18701650751477,8.19406886262822,8.2005778243718,8.20655918369365,8.21206108897741,8.21715952906957,8.22195078745295,8.2265411920322,8.23103504402415,8.23552216137283,8.2400668154087,8.24469982509088,8.2494151629888,8.25417170757783,8.25889992040066,8.26351242524561,8.26791686816429,8.27202912340232,8.27578490579214,8.2791481416985,8.28211499433475,8.28471315709367,8.2869968087719,8.28903833494519,8.29091842910068,8.29271638946635,8.29450226732773,8.29633202034946,8.29824609012803,8.30027104005402,8.30242325879238,8.30471340469429
