Time,xr_2,xr_3,xr_5,xr_7,xr_10
197301,0.3575,0.4899,0.8197,0.233,-3.8583
197302,0.1993,0.5266,1.1547,0.7958,-4.0274
197303,1.0155,1.6771,2.2964,0.9055,-5.2839
197304,0.9514,1.3374,2.0842,0.8608,-4.5334
197305,1.2496,2.1942,2.9497,1.2322,-4.4863
197306,1.5347,2.3493,2.6619,0.0553,-7.0479
197307,1.6722,3.2574,3.3616,0.0823,-8.223
197308,0.6635,2.7432,2.4763,-1.3153,-8.5594
197309,0.0587,1.6111,1.2711,-1.0502,-6.0216
197310,-0.1359,1.0064,0.6672,-1.1176,-4.9566
197311,-0.2814,1.5794,0.9995,-1.4199,-4.8586
197312,-0.5057,0.9542,0.3154,-1.6667,-4.2331
197401,-0.433,0.6283,-0.2673,-2.1794,-4.03
197402,-0.3203,0.6788,-0.0709,-1.9299,-3.9731
197403,-0.7711,-0.2281,-1.4175,-3.5891,-5.6556
197404,-1.4092,-1.1849,-3.0042,-5.4848,-7.4384
197405,-1.5706,-1.856,-3.6638,-5.7242,-7.1479
197406,-1.6051,-2.1288,-4.0762,-6.285,-7.4009
197407,-1.307,-1.8783,-3.6366,-5.5988,-6.7782
197408,-1.9845,-2.9663,-5.2298,-7.7641,-8.6686
197409,-1.4159,-2.1624,-3.8114,-5.405,-6.5156
197410,-1.4432,-2.062,-3.634,-5.6171,-6.7655
197411,-1.4986,-2.1131,-3.626,-5.2736,-6.2895
197412,-1.1873,-1.8127,-3.2901,-4.7332,-5.5509
197501,-0.8901,-1.1533,-1.7079,-2.4461,-3.8571
197502,-0.933,-1.1743,-1.6131,-1.9752,-3.4504
197503,-0.882,-1.093,-1.5985,-2.1334,-3.6408
197504,-0.8855,-1.026,-1.6015,-2.4066,-3.7619
197505,-0.9164,-1.0277,-1.4421,-1.6659,-2.6826
197506,-0.864,-1.0972,-1.789,-2.5252,-3.2443
197507,-0.8205,-1.0485,-1.8574,-2.7755,-3.4502
197508,-0.8057,-1.0595,-1.8413,-2.6334,-3.3935
197509,-0.8324,-1.0468,-1.8076,-2.5304,-3.3499
197510,-0.906,-1.0208,-1.4778,-1.8575,-2.7764
197511,-0.8954,-1.0037,-1.5024,-1.9689,-2.9643
197512,-0.8113,-0.9591,-1.4238,-1.8859,-2.9075
197601,-0.7237,-0.7954,-1.0453,-1.4141,-2.748
197602,-0.6179,-0.7395,-1.171,-1.749,-3.1565
197603,-0.5139,-0.6176,-0.9901,-1.6,-3.1699
197604,-0.3254,-0.4139,-0.7252,-1.3784,-3.1123
197605,-0.2579,-0.3898,-0.8941,-1.6134,-3.2293
197606,-0.2079,-0.3183,-0.7107,-1.364,-2.9933
197607,-0.1082,-0.1554,-0.4188,-1.0151,-2.6829
197608,-0.0365,-0.0696,-0.2723,-0.8327,-2.4027
197609,0.0347,0.0566,-0.1054,-0.5618,-2.1057
197610,0.1332,0.1839,0.1404,-0.0724,-1.4128
197611,0.193,0.279,0.354,0.4592,-0.4688
197612,0.2774,0.5136,0.7946,0.8018,-0.2167
197701,0.369,0.6701,0.9535,0.6707,-0.4533
197702,0.4327,0.8171,1.3095,1.1103,-0.0431
197703,0.5108,0.9431,1.498,1.4833,0.3552
197704,0.5231,0.8848,1.3618,1.3785,0.4492
197705,0.3774,0.6307,0.9782,0.865,0.0786
197706,0.4119,0.615,0.9516,1.0402,0.5317
