Time,xr_2,xr_3,xr_4,xr_5,xr_6,xr_7,xr_8,xr_9,xr_10
197301,0.3575,0.4899,0.3327,0.8197,1.1587,0.233,-1.1946,-2.5892,-3.8583
197302,0.1993,0.5266,0.4433,1.1547,1.673,0.7958,-0.6769,-2.3374,-4.0274
197303,1.0155,1.6771,1.4804,2.2964,2.3821,0.9055,-1.0927,-3.1966,-5.2839
197304,0.9514,1.3374,1.2745,2.0842,2.185,0.8608,-0.8833,-2.7214,-4.5334
197305,1.2496,2.1942,2.0397,2.9497,2.8262,1.2322,-0.6626,-2.5857,-4.4863
197306,1.5347,2.3493,1.9301,2.6619,1.8711,0.0553,-2.1252,-4.533,-7.0479
197307,1.6722,3.2574,2.7215,3.3616,2.0319,0.0823,-2.2152,-5.033,-8.223
197308,0.6635,2.7432,2.4665,2.4763,0.4223,-1.3153,-3.3674,-5.8805,-8.5594
197309,0.0587,1.6111,1.5039,1.2711,-0.0514,-1.0502,-2.3935,-4.1445,-6.0216
197310,-0.1359,1.0064,0.9504,0.6672,-0.4007,-1.1176,-2.0832,-3.4278,-4.9566
197311,-0.2814,1.5794,1.5458,0.9995,-0.5326,-1.4199,-2.2295,-3.3849,-4.8586
197312,-0.5057,0.9542,0.8571,0.3154,-0.9283,-1.6667,-2.2864,-3.1263,-4.2331
197401,-0.433,0.6283,0.4053,-0.2673,-1.4042,-2.1794,-2.7178,-3.2749,-4.03
197402,-0.3203,0.6788,0.5674,-0.0709,-1.1514,-1.9299,-2.5311,-3.1804,-3.9731
197403,-0.7711,-0.2281,-0.5678,-1.4175,-2.6187,-3.5891,-4.2033,-4.8327,-5.6556
197404,-1.4092,-1.1849,-1.8858,-3.0042,-4.3762,-5.4848,-6.0838,-6.6561,-7.4384
197405,-1.5706,-1.856,-2.646,-3.6638,-4.828,-5.7242,-6.1803,-6.5969,-7.1479
197406,-1.6051,-2.1288,-3.0133,-4.0762,-5.3326,-6.285,-6.7483,-7.0361,-7.4009
197407,-1.307,-1.8783,-2.6906,-3.6366,-4.7114,-5.5988,-6.1441,-6.5022,-6.7782
197408,-1.9845,-2.9663,-4.107,-5.2298,-6.6406,-7.7641,-8.2219,-8.3999,-8.6686
197409,-1.4159,-2.1624,-2.9587,-3.8114,-4.7001,-5.405,-5.8692,-6.2117,-6.5156
197410,-1.4432,-2.062,-2.8117,-3.634,-4.5962,-5.6171,-6.2301,-6.5287,-6.7655
197411,-1.4986,-2.1131,-2.8795,-3.626,-4.5201,-5.2736,-5.7191,-6.0766,-6.2895
197412,-1.1873,-1.8127,-2.541,-3.2901,-4.104,-4.7332,-5.1233,-5.411,-5.5509
