TradeDate,ATM_IV_5_40D,ATM_IV_10_40D,ATM_IV_30_40D
19821001,        ,        ,        
19821004,        ,        ,        
19821005,        ,        ,        
19821006,        ,        ,        
19821007,        ,        ,        
19821008,        ,        ,        
19821011,        ,        ,        
19821012,        ,        ,        
19821013,        ,        ,        
19821014,        ,        ,        
19821015,        ,        ,        
19821018,        ,        ,0.17776 
19821019,        ,        ,0.17451 
19821020,        ,        ,0.19044 
19821021,        ,        ,0.19009 
19821022,        ,        ,0.17372 
19821025,        ,        ,0.187   
19821026,        ,        ,0.18481 
19821027,        ,        ,0.18378 
19821028,        ,        ,0.17748 
19821029,        ,        ,0.1818  
19821101,        ,        ,0.17224 
19821103,        ,        ,0.16968 
19821104,        ,        ,0.1647  
19821105,        ,        ,0.16549 
19821108,        ,        ,0.1689  
19821109,        ,        ,0.16202 
19821110,        ,        ,0.15371 
19821111,        ,        ,0.15943 
19821112,        ,        ,0.14736 
19821115,        ,        ,0.15595 
19821116,        ,        ,0.14461 
19821117,        ,        ,0.13911 
19821118,        ,        ,0.12767 
19821119,        ,        ,0.14648 
19821122,        ,        ,        
19821123,        ,        ,        
19821124,        ,        ,        
19821126,        ,        ,        
19821129,        ,        ,        
19821130,        ,        ,        
19821201,        ,        ,        
19821202,        ,        ,        
19821203,        ,        ,        
19821206,        ,        ,        
19821207,        ,        ,        
19821208,        ,        ,        
19821209,        ,        ,        
19821210,        ,        ,        
19821213,        ,        ,        
19821214,        ,        ,        
19821215,        ,        ,        
19821216,        ,        ,        
19821217,        ,        ,        
19821220,        ,        ,        
19821221,        ,        ,        
19821222,        ,        ,        
19821223,        ,        ,        
19821227,        ,        ,        
19821228,        ,        ,        
19821229,        ,        ,        
19821230,        ,        ,        
19830103,        ,        ,        
19830104,        ,        ,        
19830105,        ,        ,        
19830106,        ,        ,        
19830107,        ,        ,        
19830110,        ,        ,0.14061 
19830111,        ,        ,0.1429  
19830112,        ,        ,0.13491 
19830113,        ,        ,0.13317 
19830114,        ,        ,0.1287  
19830117,        ,        ,0.12234 
19830118,        ,        ,0.12118 
19830119,        ,        ,0.1198  
19830120,        ,        ,0.11683 
19830121,        ,        ,0.12864 
19830124,        ,        ,0.13164 
19830125,        ,        ,0.12752 
19830126,        ,        ,0.1261  
19830127,        ,        ,0.12992 
19830128,        ,        ,0.11729 
19830131,        ,        ,0.13024 
19830201,        ,        ,0.13178 
19830202,        ,        ,0.12552 
19830203,        ,        ,0.13362 
19830204,        ,        ,0.13964 
19830207,        ,        ,0.14282 
19830208,        ,        ,0.14756 
19830209,        ,        ,0.13377 
19830210,        ,        ,0.13565 
19830211,        ,        ,0.13351 
19830214,        ,        ,        
19830215,        ,        ,        
19830216,        ,        ,        
19830217,        ,        ,        
19830218,        ,        ,        
19830222,        ,        ,        
19830223,        ,        ,        
19830224,        ,        ,        
19830225,        ,        ,        
19830228,        ,        ,        
19830301,        ,        ,        
19830302,        ,        ,        
19830303,        ,        ,        
19830304,        ,        ,        
19830307,        ,        ,        
19830308,        ,        ,        
