model,benchmark,target_group,target_name,maturity_months,horizon,n_oos,rmse_model,rmse_benchmark,mae_model,mae_benchmark,mse_model,mse_benchmark,oos_r2,source_used,run_tag
DLNSModel,RandomWalk,yield,m001,1,12,267,0.09044955670833588,0.013771881349384785,0.0610223263502121,0.008944378234446049,0.00818112213164568,0.0001896647154353559,-42.1346549987793,mat,dlns_lee2023_h12
DLNSModel,RandomWalk,yield,m002,2,12,267,0.08383159339427948,0.01370145007967949,0.05543306842446327,0.008946191519498825,0.007027735933661461,0.00018772973271552473,-36.43539047241211,mat,dlns_lee2023_h12
DLNSModel,RandomWalk,yield,m003,3,12,267,0.0777871310710907,0.013637025840580463,0.050283025950193405,0.008947226218879223,0.006050837226212025,0.0001859684707596898,-31.53689956665039,mat,dlns_lee2023_h12
DLNSModel,RandomWalk,yield,m004,4,12,267,0.07228584587574005,0.013572907075285912,0.0455990731716156,0.008946766145527363,0.005225243046879768,0.00018422381253913045,-27.36355972290039,mat,dlns_lee2023_h12
DLNSModel,RandomWalk,yield,m005,5,12,267,0.06729942560195923,0.013505378738045692,0.041433561593294144,0.008938822895288467,0.0045292130671441555,0.00018239524797536433,-23.831859588623047,mat,dlns_lee2023_h12
DLNSModel,RandomWalk,yield,m006,6,12,267,0.06280183792114258,0.01343332976102829,0.03776434808969498,0.008934306912124157,0.003944071009755135,0.00018045435717795044,-20.85633659362793,mat,dlns_lee2023_h12
DLNSModel,RandomWalk,yield,m007,7,12,267,0.058769237250089645,0.01335805281996727,0.03455905616283417,0.008926412090659142,0.0034538230393081903,0.00017843757814262062,-18.35591697692871,mat,dlns_lee2023_h12
DLNSModel,RandomWalk,yield,m008,8,12,267,0.055179137736558914,0.013281818479299545,0.031755950301885605,0.00891115702688694,0.003044737037271261,0.00017640669830143452,-16.25975799560547,mat,dlns_lee2023_h12
DLNSModel,RandomWalk,yield,m009,9,12,267,0.0520084947347641,0.013206169940531254,0.02933690883219242,0.008890715427696705,0.002704883459955454,0.00017440291412640363,-14.509393692016602,mat,dlns_lee2023_h12
DLNSModel,RandomWalk,yield,m010,10,12,267,0.04923304542899132,0.013131076470017433,0.027402730658650398,0.008866170421242714,0.002423892728984356,0.0001724251633277163,-13.057650566101074,mat,dlns_lee2023_h12
DLNSModel,RandomWalk,yield,m011,11,12,267,0.046826839447021484,0.013055257499217987,0.025997551158070564,0.008839907124638557,0.0021927529014647007,0.00017043975822161883,-11.865266799926758,mat,dlns_lee2023_h12
DLNSModel,RandomWalk,yield,m012,12,12,267,0.044762518256902695,0.0129770552739501,0.025021683424711227,0.008817334659397602,0.0020036830101162195,0.00016840397438500077,-10.89807415008545,mat,dlns_lee2023_h12
DLNSModel,RandomWalk,yield,m013,13,12,267,0.04301154613494873,0.012895188294351101,0.024334566667675972,0.00879143550992012,0.001849993015639484,0.00016628588491585106,-10.125375747680664,mat,dlns_lee2023_h12
DLNSModel,RandomWalk,yield,m014,14,12,267,0.04154447093605995,0.012809153646230698,0.023945946246385574,0.008764400146901608,0.001725942944176495,0.00016407441580668092,-9.519268989562988,mat,dlns_lee2023_h12
DLNSModel,RandomWalk,yield,m015,15,12,267,0.040331173688173294,0.012719050981104374,0.023867381736636162,0.008733478374779224,0.0016266035381704569,0.00016177425277419388,-9.054774284362793,mat,dlns_lee2023_h12
DLNSModel,RandomWalk,yield,m016,16,12,267,0.039341043680906296,0.012625259347259998,0.02390037477016449,0.008703531697392464,0.0015477178385481238,0.0001593971683178097,-8.709819793701172,mat,dlns_lee2023_h12
DLNSModel,RandomWalk,yield,m017,17,12,267,0.03854386880993843,0.012528304941952229,0.024066798388957977,0.008672394789755344,0.001485629822127521,0.00015695842739660293,-8.465116500854492,mat,dlns_lee2023_h12
DLNSModel,RandomWalk,yield,m018,18,12,267,0.037910737097263336,0.01242884248495102,0.02426886186003685,0.008640210144221783,0.0014372240984812379,0.00015447611804120243,-8.30385971069336,mat,dlns_lee2023_h12
DLNSModel,RandomWalk,yield,m019,19,12,267,0.03741500526666641,0.012327787466347218,0.024516301229596138,0.00860583409667015,0.0013998824870213866,0.00015197433822322637,-8.211308479309082,mat,dlns_lee2023_h12
DLNSModel,RandomWalk,yield,m020,20,12,267,0.03703270107507706,0.012226451188325882,0.024813324213027954,0.008569901809096336,0.0013714209198951721,0.00014948610623832792,-8.174236297607422,mat,dlns_lee2023_h12
DLNSModel,RandomWalk,yield,m021,21,12,267,0.03674270585179329,0.012126530520617962,0.025114620104432106,0.008533105254173279,0.0013500264612957835,0.00014705274952575564,-8.180559158325195,mat,dlns_lee2023_h12
DLNSModel,RandomWalk,yield,m022,22,12,267,0.03652627766132355,0.012029673904180527,0.02541276067495346,0.008498002775013447,0.0013341690646484494,0.00014471306349150836,-8.219409942626953,mat,dlns_lee2023_h12
DLNSModel,RandomWalk,yield,m023,23,12,267,0.03636695444583893,0.011936911381781101,0.025692880153656006,0.008462502621114254,0.0013225554721429944,0.00014248985098674893,-8.28175163269043,mat,dlns_lee2023_h12
DLNSModel,RandomWalk,yield,m024,24,12,267,0.03625030815601349,0.011848566122353077,0.02599506452679634,0.008428234606981277,0.001314084860496223,0.0001403885253239423,-8.360343933105469,mat,dlns_lee2023_h12
DLNSModel,RandomWalk,yield,m025,25,12,267,0.036164041608572006,0.01176443137228489,0.026329606771469116,0.008397863246500492,0.0013078378979116678,0.00013840185420121998,-8.449568748474121,mat,dlns_lee2023_h12
DLNSModel,RandomWalk,yield,m026,26,12,267,0.0360979288816452,0.011683886870741844,0.026630651205778122,0.00836759153753519,0.001303060562349856,0.00013651321933139116,-8.545307159423828,mat,dlns_lee2023_h12
DLNSModel,RandomWalk,yield,m027,27,12,267,0.03604358807206154,0.011605987325310707,0.026913180947303772,0.008339431136846542,0.0012991402763873339,0.0001346989447483793,-8.644769668579102,mat,dlns_lee2023_h12
DLNSModel,RandomWalk,yield,m028,28,12,267,0.03599417954683304,0.011529696173965931,0.027164394035935402,0.008311509154736996,0.0012955808779224753,0.000132933899294585,-8.746053695678711,mat,dlns_lee2023_h12
DLNSModel,RandomWalk,yield,m029,29,12,267,0.03594409301877022,0.01145410630851984,0.02738027833402157,0.008283048868179321,0.0012919778237119317,0.00013119654613547027,-8.847651481628418,mat,dlns_lee2023_h12
DLNSModel,RandomWalk,yield,m030,30,12,267,0.03588876873254776,0.011378612369298935,0.027565186843276024,0.00825489778071642,0.0012880037538707256,0.0001294728135690093,-8.948062896728516,mat,dlns_lee2023_h12
DLNSModel,RandomWalk,yield,m031,31,12,267,0.035824477672576904,0.011302904225885868,0.027712374925613403,0.0082249091938138,0.0012833931250497699,0.00012775564391631633,-9.045686721801758,mat,dlns_lee2023_h12
DLNSModel,RandomWalk,yield,m032,32,12,267,0.03574812039732933,0.011226821690797806,0.02781953290104866,0.00819322094321251,0.0012779280077666044,0.00012604153016582131,-9.138943672180176,mat,dlns_lee2023_h12
DLNSModel,RandomWalk,yield,m033,33,12,267,0.035657498985528946,0.011150307022035122,0.027899323031306267,0.008162219077348709,0.001271457294933498,0.00012432933726813644,-9.226527214050293,mat,dlns_lee2023_h12
DLNSModel,RandomWalk,yield,m034,34,12,267,0.03555138409137726,0.011073501780629158,0.02794499136507511,0.008133374154567719,0.0012639010092243552,0.0001226224412675947,-9.307256698608398,mat,dlns_lee2023_h12
DLNSModel,RandomWalk,yield,m035,35,12,267,0.035429585725069046,0.010996830649673939,0.0279573742300272,0.008104709908366203,0.0012552555417641997,0.00012093028635717928,-9.379993438720703,mat,dlns_lee2023_h12
DLNSModel,RandomWalk,yield,m036,36,12,267,0.03529255837202072,0.010920963250100613,0.027942761778831482,0.008077418431639671,0.0012455645482987165,0.00011926743172807619,-9.443459510803223,mat,dlns_lee2023_h12
DLNSModel,RandomWalk,yield,m037,37,12,267,0.035141050815582275,0.010846741497516632,0.02790762297809124,0.008050340227782726,0.0012348935706540942,0.00011765179806388915,-9.496172904968262,mat,dlns_lee2023_h12
DLNSModel,RandomWalk,yield,m038,38,12,267,0.03497594967484474,0.010775065049529076,0.02784867398440838,0.008024830371141434,0.001223317114636302,0.0001161020336439833,-9.536569595336914,mat,dlns_lee2023_h12
DLNSModel,RandomWalk,yield,m039,39,12,267,0.03479810059070587,0.010706711560487747,0.027770187705755234,0.008001072332262993,0.001210907706990838,0.00011463367263786495,-9.563281059265137,mat,dlns_lee2023_h12
DLNSModel,RandomWalk,yield,m040,40,12,267,0.03460831940174103,0.010642149485647678,0.027672316879034042,0.007981239818036556,0.0011977358954027295,0.0001132553443312645,-9.575535774230957,mat,dlns_lee2023_h12
DLNSModel,RandomWalk,yield,m041,41,12,267,0.03440723195672035,0.010581497102975845,0.027556676417589188,0.007965993136167526,0.0011838575592264533,0.00011196808918612078,-9.573169708251953,mat,dlns_lee2023_h12
DLNSModel,RandomWalk,yield,m042,42,12,267,0.034195270389318466,0.010524604469537735,0.027424857020378113,0.007952735759317875,0.0011693164706230164,0.00011076730879722163,-9.556512832641602,mat,dlns_lee2023_h12
DLNSModel,RandomWalk,yield,m043,43,12,267,0.033972762525081635,0.010471045970916748,0.027278060093522072,0.007940889336168766,0.001154148718342185,0.00010964279499603435,-9.526443481445312,mat,dlns_lee2023_h12
DLNSModel,RandomWalk,yield,m044,44,12,267,0.033739954233169556,0.010420059785246849,0.027117149904370308,0.007929175160825253,0.0011383845703676343,0.00010857765300897881,-9.484519958496094,mat,dlns_lee2023_h12
DLNSModel,RandomWalk,yield,m045,45,12,267,0.03349711745977402,0.010370563715696335,0.02694283425807953,0.00791659951210022,0.0011220569722354412,0.00010754859977168962,-9.433022499084473,mat,dlns_lee2023_h12
DLNSModel,RandomWalk,yield,m046,46,12,267,0.033244628459215164,0.010321390815079212,0.02675727568566799,0.007902943529188633,0.001105205388739705,0.00010653110075509176,-9.374485969543457,mat,dlns_lee2023_h12
