model,benchmark,target_group,target_name,maturity_months,horizon,n_oos,rmse_model,rmse_benchmark,mae_model,mae_benchmark,mse_model,mse_benchmark,oos_r2,source_used,run_tag
DNS,RW,yields,m001,1.0,12,420,0.01408352176932868,0.014232183383238062,0.010768356626903581,0.00987187933695901,0.00019834558542715483,0.00020255504385411762,0.020781800081929758,mat,dns_yield_h12
DNS,RW,yields,m002,2.0,12,420,0.014110520509584466,0.014195729978138458,0.010748640442048525,0.009893030843563478,0.00019910678905140386,0.0002015187496122189,0.011968913887448918,mat,dns_yield_h12
DNS,RW,yields,m003,3.0,12,420,0.014152637361573215,0.014171646441167814,0.010763947355748876,0.009913893387572521,0.00020029714428819806,0.00020083556285346434,0.0026808925551652374,mat,dns_yield_h12
DNS,RW,yields,m004,4.0,12,420,0.014201085421631324,0.014153256684169927,0.01078766412126919,0.009935994633792387,0.0002016708271524697,0.00020031467476800072,-0.0067701100083639165,mat,dns_yield_h12
DNS,RW,yields,m005,5.0,12,420,0.014248286843277258,0.014133888197039724,0.010809196128519155,0.009952730671766675,0.00020301367796830779,0.00019976679556641883,-0.01625336379192932,mat,dns_yield_h12
DNS,RW,yields,m006,6.0,12,420,0.014289569310138963,0.014109015729248645,0.010829518691785363,0.009970464129517133,0.00020419179106926532,0.0001990643248481857,-0.02575783594066894,mat,dns_yield_h12
DNS,RW,yields,m007,7.0,12,420,0.01432358307429871,0.014077109137405678,0.010843639225569851,0.009984101631791906,0.0002051650320863365,0.00019816500166643043,-0.03532425181561161,mat,dns_yield_h12
DNS,RW,yields,m008,8.0,12,420,0.014350989298827672,0.014038802472300129,0.01085135551824087,0.009990796999091419,0.00020595089385506637,0.00019708797485626023,-0.044969354448286536,mat,dns_yield_h12
DNS,RW,yields,m009,9.0,12,420,0.014372394045704236,0.013995064619174869,0.01085580566270772,0.00998952733539762,0.00020656571060499458,0.00019586183369488025,-0.05465014141953328,mat,dns_yield_h12
DNS,RW,yields,m010,10.0,12,420,0.014387185268620385,0.01394590108827681,0.010860419694034902,0.009980938034135712,0.00020699109995360744,0.0001944881571640003,-0.06428639651855073,mat,dns_yield_h12
DNS,RW,yields,m011,11.0,12,420,0.014393782065375922,0.01389028164173342,0.010863271023116116,0.009964235999728574,0.00020718096214553756,0.00019293992408667647,-0.07381073733844468,mat,dns_yield_h12
DNS,RW,yields,m012,12.0,12,420,0.014390532522931317,0.013826857025528405,0.010866573836069695,0.009947004626646655,0.000207087426293544,0.00019118197520440425,-0.0831953486835475,mat,dns_yield_h12
DNS,RW,yields,m013,13.0,12,420,0.01437641807337577,0.013754811021598081,0.010867363362783718,0.009922839001897618,0.00020668139662048546,0.00018919482623987606,-0.09242626095091278,mat,dns_yield_h12
DNS,RW,yields,m014,14.0,12,420,0.014351282453463628,0.013674311046729217,0.010864930167983192,0.009893285630887132,0.00020595930805909302,0.0001869867826027007,-0.10146452702330366,mat,dns_yield_h12
DNS,RW,yields,m015,15.0,12,420,0.0143157631745074,0.013586320749831958,0.010858099973822543,0.009857536353006664,0.00020494107526858218,0.00018458811151731441,-0.1102615091728627,mat,dns_yield_h12
DNS,RW,yields,m016,16.0,12,420,0.014271127472666142,0.013492154138778146,0.010845758639685494,0.009820966830541438,0.0002036650793410863,0.00018203822330454828,-0.11880392833958009,mat,dns_yield_h12
DNS,RW,yields,m017,17.0,12,420,0.014219046423852326,0.013393206330696265,0.010831606988628683,0.009784471664616193,0.00020218128120366762,0.00017937797581660253,-0.127124332199954,mat,dns_yield_h12
DNS,RW,yields,m018,18.0,12,420,0.014161350271979962,0.013290894668808517,0.010815400219900234,0.009748795670585722,0.00020054384152570694,0.00017664788109736262,-0.13527453757100916,mat,dns_yield_h12
DNS,RW,yields,m019,19.0,12,420,0.014099849698336407,0.01318669908343828,0.010797576425201467,0.009709841503300006,0.00019880576151567726,0.000173889032717152,-0.143290973612205,mat,dns_yield_h12
DNS,RW,yields,m020,20.0,12,420,0.014036170238923961,0.013082160819688276,0.010776939240481296,0.009668363737890482,0.00019701407497605474,0.00017114293171218703,-0.15116688141918422,mat,dns_yield_h12
DNS,RW,yields,m021,21.0,12,420,0.013971474651957043,0.012978715237631564,0.0107568514373598,0.009627004757404764,0.0001952021039502782,0.00016844704921952972,-0.15883362074143403,mat,dns_yield_h12
DNS,RW,yields,m022,22.0,12,420,0.013906158114824808,0.012877381300908992,0.010735224679966751,0.009585780245171423,0.00019338123351450784,0.00016582694916900058,-0.16616288536687507,mat,dns_yield_h12
DNS,RW,yields,m023,23.0,12,420,0.013839902914482626,0.012778587950196497,0.010711687803704264,0.009543028277561904,0.0001915429126823047,0.00016329231000090713,-0.1730063263924715,mat,dns_yield_h12
DNS,RW,yields,m024,24.0,12,420,0.01377222756539043,0.012682368653828796,0.010686546180717382,0.009500201953166676,0.00018967425211290003,0.00016084247467161925,-0.1792547490962484,mat,dns_yield_h12
DNS,RW,yields,m025,25.0,12,420,0.013702995664785968,0.012588632900220196,0.010658572215458987,0.009458647775580956,0.00018777209018914305,0.00015847367829650632,-0.1848787269127372,mat,dns_yield_h12
DNS,RW,yields,m026,26.0,12,420,0.013632507012905592,0.012497231215564853,0.010628035038809375,0.009416221185261898,0.00018584524745692016,0.00015618078805528857,-0.18993667384448254,mat,dns_yield_h12
DNS,RW,yields,m027,27.0,12,420,0.01356130072745144,0.012407932756846247,0.01059540885973391,0.009374924856633335,0.00018390887742037492,0.00015395679529841812,-0.19454862037040965,mat,dns_yield_h12
DNS,RW,yields,m028,28.0,12,420,0.013489818475101382,0.012320433166735083,0.010561239386555607,0.009333767929299994,0.0001819752024911866,0.00015179307341598586,-0.19883732765912998,mat,dns_yield_h12
DNS,RW,yields,m029,29.0,12,420,0.013418109826777396,0.012234401028834966,0.010524827171737843,0.009292395270842857,0.00018004567132346013,0.00014968056853435806,-0.20286603055046504,mat,dns_yield_h12
DNS,RW,yields,m030,30.0,12,420,0.013345839164198504,0.012149565437803683,0.010486552743065798,0.009251526624976183,0.00017811142299665463,0.0001476119403274738,-0.20661934665663506,mat,dns_yield_h12
DNS,RW,yields,m031,31.0,12,420,0.013272538196746536,0.012065773087546947,0.010446655477289934,0.009209868599471423,0.0001761602701840958,0.0001455828802001722,-0.2100342426381494,mat,dns_yield_h12
DNS,RW,yields,m032,32.0,12,420,0.01319781687244461,0.011982920549216408,0.010404991913411916,0.00916767107304285,0.00017418237019858367,0.00014359038488883285,-0.21305037474086452,mat,dns_yield_h12
DNS,RW,yields,m033,33.0,12,420,0.01312148285541413,0.011900879125227614,0.010360499440023315,0.009126495890590468,0.00017217331232492695,0.00014163092395327837,-0.2156477379313293,mat,dns_yield_h12
DNS,RW,yields,m034,34.0,12,420,0.013043617430697138,0.011819532845386883,0.010314239737093715,0.00908765979005238,0.00017013595567838622,0.00013970135668317933,-0.21785471320960603,mat,dns_yield_h12
DNS,RW,yields,m035,35.0,12,420,0.01296455799011519,0.011738871953725404,0.010265981371665636,0.009048960370685718,0.00016807976387905958,0.0001378011147459609,-0.2197271712127873,mat,dns_yield_h12
DNS,RW,yields,m036,36.0,12,420,0.012884842638463507,0.011659096780676106,0.010215599312031781,0.00901091722563809,0.00016601916981796722,0.00013593453774117195,-0.22131705876013896,mat,dns_yield_h12
DNS,RW,yields,m037,37.0,12,420,0.012805211791300588,0.01158069456934207,0.010164282218479344,0.008972769566999994,0.0001639734490200636,0.00013411248670838893,-0.22265609299008537,mat,dns_yield_h12
DNS,RW,yields,m038,38.0,12,420,0.012726594822462765,0.011504393006669155,0.01011241952610852,0.008935458463304758,0.00016196621577513605,0.00013235105845189817,-0.22376214946555373,mat,dns_yield_h12
DNS,RW,yields,m039,39.0,12,420,0.012649951496339983,0.011430942488355456,0.010061055312938017,0.008899222865742858,0.00016002127285975415,0.00013066644617209004,-0.2246546649704031,mat,dns_yield_h12
DNS,RW,yields,m040,40.0,12,420,0.012576028058231216,0.011360844684870244,0.010010561164883823,0.008866635495176195,0.0001581564817214188,0.00012906879195374448,-0.22536578616230285,mat,dns_yield_h12
DNS,RW,yields,m041,41.0,12,420,0.012505219028308914,0.011294215440146376,0.009961401739345292,0.0088370730181238,0.00015638050294597934,0.00012755930240844078,-0.22594354150083085,mat,dns_yield_h12
