run_index,total_runs,status,error_message,run_tag,out_file,model,feature_groups,target_group,target_indices,oos_start,horizon,hyper_freq,nmc,navg,ncpus,archi,learning_rate,patience,batch_size,Dropout,l1l2,R2OOS_mean,R2OOS_median,MSE_mean,R2OOS_1,R2OOS_2,R2OOS_3,R2OOS_4,R2OOS_5,R2OOS_6,R2OOS_7,R2OOS_8,R2OOS_9,pval_1,pval_2,pval_3,pval_4,pval_5,pval_6,pval_7,pval_8,pval_9,MSE_1,MSE_2,MSE_3,MSE_4,MSE_5,MSE_6,MSE_7,MSE_8,MSE_9
1,384,success,,sweep_NN_d12m_fwd_dy_oos1980__a3__lr0p003__pat20__bs32__do0__l10_l20,results_v2.0_sweep\sweep_NN_d12m_fwd_dy_oos1980__a3__lr0p003__pat20__bs32__do0__l10_l20.mat,NN,"[""d12m_fwd""]",dy,null,1980-01-31,12,60,100,10,24,[3],0.003,20,32,[0.0],"[[0.0, 0.0]]",-0.17287303032605986,-0.15058610242362347,2.0944312420013995,-0.2228618861473366,-0.22794846834808524,-0.26348150098950396,-0.15058610242362347,-0.12019442774791966,-0.13069113293873502,-0.10564215907314689,-0.19034899465793131,-0.14410260060825664,0.36394478018144927,0.23216854913617524,0.21671001162277703,0.13909875030399732,0.23677444380423784,0.230543639587652,0.2749139108604274,0.21557646304364375,0.2625411774295311,3.281829412827353,2.8115658155302525,2.488125576612192,2.054877017694123,1.818870200812003,1.6992646083220253,1.6247944992412113,1.6020181234470894,1.4685359235263462
2,384,success,,sweep_NN_d12m_fwd_dy_oos1980__a3__lr0p003__pat20__bs32__do0__l11em05_l21em05,results_v2.0_sweep\sweep_NN_d12m_fwd_dy_oos1980__a3__lr0p003__pat20__bs32__do0__l11em05_l21em05.mat,NN,"[""d12m_fwd""]",dy,null,1980-01-31,12,60,100,10,24,[3],0.003,20,32,[0.0],"[[1e-05, 1e-05]]",-0.17290815470924586,-0.1511035191243728,2.0942482421547606,-0.2215367171259397,-0.2271574383548851,-0.2642460592136915,-0.1511035191243728,-0.1188643003783516,-0.13118992543628716,-0.10681398103069895,-0.18937666664433528,-0.14588478507465075,0.3830574093150513,0.24309075806716285,0.22680076640893865,0.14448146918371063,0.24237112629449764,0.23730034721086501,0.28392709954665873,0.21890307423934496,0.2709318884103066,3.2782730188300806,2.809754637825919,2.489631191748563,2.0558010925501446,1.8167104605241895,1.7000142210264106,1.6265165481474453,1.6007095264669544,1.470823482273141
3,384,success,,sweep_NN_d12m_fwd_dy_oos1980__a3__lr0p003__pat20__bs32__do0__l11em04_l25em05,results_v2.0_sweep\sweep_NN_d12m_fwd_dy_oos1980__a3__lr0p003__pat20__bs32__do0__l11em04_l25em05.mat,NN,"[""d12m_fwd""]",dy,null,1980-01-31,12,60,100,10,24,[3],0.003,20,32,[0.0],"[[0.0001, 5e-05]]",-0.1703268194510349,-0.15114467151271027,2.0897518890988245,-0.22727064029825228,-0.21723885783961605,-0.26056618748097304,-0.13619254238470746,-0.12044619558408076,-0.132540105388111,-0.11507239848415085,-0.17246977608671243,-0.15114467151271027,0.3791516584055703,0.23932653662895143,0.2184620145436199,0.1411942331692846,0.2433158977934906,0.23599424978027228,0.31089177998908013,0.2123570464899407,0.30639031283121254,3.293661312414958,2.7870446116040286,2.4823845617269473,2.029170992161162,1.8192789986093971,1.7020433454620438,1.6386526910583277,1.577955573461573,1.4775749153909858
4,384,success,,sweep_NN_d12m_fwd_dy_oos1980__a3__lr0p003__pat20__bs32__do0__l11em04_l21em04,results_v2.0_sweep\sweep_NN_d12m_fwd_dy_oos1980__a3__lr0p003__pat20__bs32__do0__l11em04_l21em04.mat,NN,"[""d12m_fwd""]",dy,null,1980-01-31,12,60,100,10,24,[3],0.003,20,32,[0.0],"[[0.0001, 0.0001]]",-0.1722512367884134,-0.15157209933711768,2.093274401371799,-0.22934925570107678,-0.21833724361180518,-0.2638201319503586,-0.13912998573056523,-0.12405945234136584,-0.1360251090424962,-0.1128852691677793,-0.1750825842131558,-0.15157209933711768,0.3900926444273818,0.2452878718341549,0.22564609247960987,0.14724772969320288,0.25348874440963054,0.24551640742712566,0.3044330451406544,0.22089402945569492,0.3079053110993296,3.2992397520116277,2.789559524867045,2.488792429553119,2.0344170878766143,1.8251458775019482,1.7072807999686348,1.6354385990004154,1.5814719925877623,1.4781235489790245
5,384,success,,sweep_NN_d12m_fwd_dy_oos1980__a3__lr0p003__pat20__bs32__do0_0p1__l10_l20,results_v2.0_sweep\sweep_NN_d12m_fwd_dy_oos1980__a3__lr0p003__pat20__bs32__do0_0p1__l10_l20.mat,NN,"[""d12m_fwd""]",dy,null,1980-01-31,12,60,100,10,24,[3],0.003,20,32,"[0.0, 0.1]","[[0.0, 0.0]]",-0.13731973250020998,-0.14178883207766146,2.0247789868535517,-0.1752070405090711,-0.15253513260794382,-0.18062462004414837,-0.12589831296765253,-0.12040679912643548,-0.14178883207766146,-0.10400594708399646,-0.08527236054124865,-0.15013854754373201,0.7730171901276641,0.6793836775986144,0.7080941486629573,0.44099797149797937,0.4730511673210648,0.5943393318795874,0.40171321069862076,0.38525793240256734,0.5053275861554161,3.153936740849381,2.6388960640973385,2.324958704349324,2.0107861225721626,1.8192150302115424,1.7159428388583973,1.6223900067770363,1.4606018892492187,1.476283484717565
6,384,success,,sweep_NN_d12m_fwd_dy_oos1980__a3__lr0p003__pat20__bs32__do0_0p1__l11em05_l21em05,results_v2.0_sweep\sweep_NN_d12m_fwd_dy_oos1980__a3__lr0p003__pat20__bs32__do0_0p1__l11em05_l21em05.mat,NN,"[""d12m_fwd""]",dy,null,1980-01-31,12,60,100,10,24,[3],0.003,20,32,"[0.0, 0.1]","[[1e-05, 1e-05]]",-0.13507022214017478,-0.1390644333117812,2.020860880887963,-0.17334065661185516,-0.15001385440306114,-0.1781467612189349,-0.12444036299941708,-0.1181088443670113,-0.1390644333117812,-0.10311892948687396,-0.08284735506777796,-0.14655080179486024,0.7699351713315581,0.6739528746661735,0.7079954648028961,0.4407105343643599,0.46832200249070954,0.5901418142301429,0.40085877301584183,0.38029174121069564,0.5008557792281889,3.148927873013282,2.633123232586077,2.320079152164813,2.008182312325918,1.8154838195116882,1.7118484630673843,1.6210864916200665,1.4573382222613096,1.471678361441126
7,384,success,,sweep_NN_d12m_fwd_dy_oos1980__a3__lr0p003__pat20__bs32__do0_0p1__l11em04_l25em05,results_v2.0_sweep\sweep_NN_d12m_fwd_dy_oos1980__a3__lr0p003__pat20__bs32__do0_0p1__l11em04_l25em05.mat,NN,"[""d12m_fwd""]",dy,null,1980-01-31,12,60,100,10,24,[3],0.003,20,32,"[0.0, 0.1]","[[0.0001, 5e-05]]",-0.13440868370014855,-0.1377376049350929,2.019446961319888,-0.1724732465325607,-0.14952966268745205,-0.17578300235605293,-0.12318600606952534,-0.11604904496118817,-0.1377376049350929,-0.10234678260152896,-0.0829225301833163,-0.14965027297461964,0.762846556389171,0.6670713298112444,0.6907671101771571,0.4330033776957174,0.45341804942478925,0.5748309237268368,0.39038872002799796,0.37778966096306943,0.5108629754804318,3.146599979779016,2.6320146055460505,2.3154242926523687,2.005942106902098,1.8121393038935967,1.7098544326587757,1.6199517845164906,1.4574393958650707,1.4756567500655284
8,384,success,,sweep_NN_d12m_fwd_dy_oos1980__a3__lr0p003__pat20__bs32__do0_0p1__l11em04_l21em04,results_v2.0_sweep\sweep_NN_d12m_fwd_dy_oos1980__a3__lr0p003__pat20__bs32__do0_0p1__l11em04_l21em04.mat,NN,"[""d12m_fwd""]",dy,null,1980-01-31,12,60,100,10,24,[3],0.003,20,32,"[0.0, 0.1]","[[0.0001, 0.0001]]",-0.13857138870432273,-0.1414131619382908,2.0267402654391895,-0.17536790126563773,-0.15210395100701257,-0.1823370071153223,-0.12797335527939335,-0.12421906118427106,-0.1414131619382908,-0.10273463369263891,-0.08858524401624779,-0.15240818284009006,0.7697408639027776,0.6693851302287281,0.706156886345314,0.4425820728731774,0.4817350413281166,0.5840474517903729,0.3886280954048883,0.39163996499945575,0.5075613242139292,3.154368447461755,2.637908811390312,2.328330842418235,2.0144920223289526,1.8254050358774543,1.7153782611822845,1.6205217504084284,1.4650604970958574,1.4791967207894292
9,384,success,,sweep_NN_d12m_fwd_dy_oos1980__a3__lr0p003__pat20__bs32__do0_0p2__l10_l20,results_v2.0_sweep\sweep_NN_d12m_fwd_dy_oos1980__a3__lr0p003__pat20__bs32__do0_0p2__l10_l20.mat,NN,"[""d12m_fwd""]",dy,null,1980-01-31,12,60,100,10,24,[3],0.003,20,32,"[0.0, 0.2]","[[0.0, 0.0]]",-0.12213377070909567,-0.1170176802315912,1.9973056391550525,-0.16135987966110021,-0.14328727343033454,-0.14702861806305823,-0.09678225347482661,-0.11828208380864336,-0.1170176802315912,-0.10461181270373632,-0.09439102243639064,-0.11644331257217999,0.8139097515250536,0.6983272864122168,0.6883981755538678,0.4233777168157141,0.542607166111836,0.5648636986798732,0.45521694455540174,0.43682101060315515,0.4708539419892439,3.1167747193080992,2.617721751493178,2.2587993884150603,1.9587866056550056,1.8157651100182135,1.6787153941450053,1.623280355537848,1.472874140230371,1.4330332875926934
10,384,failed,'Missing group X.d12m_fwd in data/target_and_features.mat.',sweep_NN_d12m_fwd_dy_oos1980__a3__lr0p003__pat20__bs32__do0_0p2__l11em05_l21em05,results_v2.0_sweep\sweep_NN_d12m_fwd_dy_oos1980__a3__lr0p003__pat20__bs32__do0_0p2__l11em05_l21em05.mat,NN,"[""d12m_fwd""]",dy,null,1980-01-31,12,60,100,10,24,[3],0.003,20,32,"[0.0, 0.2]","[[1e-05, 1e-05]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
